And     it came to pass that the Lord	~37~1 Nephi 2:2
And     it came to pass that we did	~28~1 Nephi 3:26
And     it came to pass that when the	~45~1 Nephi 4:30
And     it came to pass that they did	~47~1 Nephi 5:9
And now it came to pass that when		~27~1 Nephi 17:48
And     it came to pass that when they	~22~Mosiah 2:5
And     it came to pass that the Lamanites~24~Mosiah 11:16
And     it came to pass that in the	~21~Alma 1:2
        it came to pass that when Jesus had~22~3 Nephi 11:12

year of the reign of the judges over the people of Nephi ~46~Alma 1:1
